order_name;status;contragent;dogovor;manager;order_number;order_date;scheme_date;logistic_date;create_date;payment_amount;payment_current;product_name;qty
3928 - доплата КНС, 9-11 нед., доставка, ст. Динская «Белые росы» ;Оформление;АС ИНЖИНИРИНГ ООО;Договор №296/23;Салогуб Денис;ПКНФ-000030;14.02.2024;;14.02.2024;14.02.2024;1000000;1000000;Доплата за канализационную насосную станцию в корпусе, произведенном из армированного стеклопластика;1
поплавки;Оформление;ИНЖМОНТАЖСЕРВИС ООО;Договор поставки №356/24;Сидоренко Александр;ПКНФ-000034;19.02.2024;;19.02.2024;19.02.2024;38000;38000;Поплавковый выключатель RL-1 10м;10
3379 - аванс за емкость ;Оформление;ПМК ООО (ПРОММОНТАЖКОМПЛЕКТ);№ 13H/ПМК-П от 21.02.2024 (руб.);Салогуб Денис;ПКНФ-000040;21.02.2024;;21.02.2024;21.02.2024;777000;777000;Аванс в размере 70% за оборудование по договору поставки № 013Н/ПМК-П от 21.02.2024;1
4368 - КНС, 4-6 недель, доставка;Оформление;ВИОЯР ООО;Договор поставки 361/24;Сидоренко Александр;ПКНФ-000046;04.03.2024;;11.03.2024;04.03.2024;989000;692300;Канализационная насосная станция в корпусе из стеклопластика КСС-КНС-1600-3000, на базе насосов KQ 5;1
4390 - доплата КК, ЖК «Флора», 3-5 нед, доставка Сочи;Оформление;РАФСТРОЙ ООО СЗ;Договор №1705/1;Сидоренко Александр;ПКНФ-000068;01.04.2024;;15.04.2024;01.04.2024;90000;90000;Доплата за колодец канализационный стеклопластиковый КСС-КР, D=1600 мм, Н=5000 мм, для глубины залож;1
Площадка обслуживания;Оформление;Ю-ТЕК ООО;Договор №73/20 от 06.05.2020;Сидоренко Александр;ПКНФ-000073;01.04.2024;;01.05.2024;01.04.2024;10000;10000;Площадка обслуживания нерж.ст  ПК;1
2878 - ЛОС и бетонная КНС. 10-12 срок на все. Доставка и монтаж. ЖК Парк Победы;Оформление;ПАРК ПОБЕДЫ ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК;Договор №149/21;Сидоренко Александр;ПКНФ-000091;06.09.2024;;30.10.2024;06.09.2024;945000;665000;Доплата за оборудование по дополнительному соглашению №3 к договору поставки 149/21 от 15 июля 2021г;1
4154.3.2 ЖУВ доплата 60%;Оформление;РАТУША ООО;Договор №344/24;Сидоренко Александр;ПКНФ-000105;08.10.2024;;08.10.2024;08.10.2024;74934.09;74934.09;Доплата 60% за жироуловитель вертикальный КСС-ЖУВ-10, производительность 10 л/с, D=1800 мм, H=3500 м;1
4726 - ПНС, ВНС, ЕН 3 шт Сочи, Адлерский район, с. Высокое 13 раб. недель;к отгрузке;ИНСТРОЙКОМ ООО;Договор поставки №07-05;Салогуб Денис;ПКНФ-000110;23.05.2024;;23.05.2024;23.05.2024;11017000;11017000;Насосная станция пожаротушения в корпусе, произведенном из армированного стеклопластика методом маши;1
4726 - ПНС, ВНС, ЕН 3 шт Сочи, Адлерский район, с. Высокое 13 раб. недель;к отгрузке;ИНСТРОЙКОМ ООО;Договор поставки №07-05;Салогуб Денис;ПКНФ-000110;23.05.2024;;23.05.2024;23.05.2024;11017000;11017000;Насосная станция повышения давления в корпусе, произведенном из армированного стеклопластика методом;1
4726 - ПНС, ВНС, ЕН 3 шт Сочи, Адлерский район, с. Высокое 13 раб. недель;к отгрузке;ИНСТРОЙКОМ ООО;Договор поставки №07-05;Салогуб Денис;ПКНФ-000110;23.05.2024;;23.05.2024;23.05.2024;11017000;11017000;Емкость накопительная пожарная, произведенная из армированного стеклопластика методом машинной намот;2
4726 - ПНС, ВНС, ЕН 3 шт Сочи, Адлерский район, с. Высокое 13 раб. недель;к отгрузке;ИНСТРОЙКОМ ООО;Договор поставки №07-05;Салогуб Денис;ПКНФ-000110;23.05.2024;;23.05.2024;23.05.2024;11017000;11017000;Емкость накопительная питьевая Полиэтилен/Металл КСС-ЕН-50, D=3000 мм, L=7500 мм, объем 50 м3;1
3155 - доплата КНС, 6-8 недель, Щербиновская районная больница, доставка;Оформление;ПО ГИРАКС ООО;Договор №302/23;Сидоренко Александр;ПКНФ-000115;31.07.2024;;30.08.2024;31.07.2024;164500;164500;Доплата за канализационную насосную станцию в корпусе, произведенном из армированного стеклопластика;1
4376 - КНС 3шт., АСТРА, Усреднитель корпус 10-14 рабочих недель, насосы 10-14 рабочих недель, доставка;Отгружен ч;АГРОСТРОЙПОДРЯД ООО;Договор №406/24;Цопанов Заур Валерьевич;ПКНФ-000134;23.09.2024;;23.09.2024;23.09.2024;8996330;8524650;Канализационная насосная станция в корпусе, КСС-КНС-1 1500-4600, на базе насосов CNP    65WQ25-18-3W;1
