order_name;status;contragent;dogovor;manager;order_number;order_date;scheme_date;logistic_date;create_date;payment_amount;payment_current;product_name;qty
8025 - ПНС , 4-6недель, Доставка товара включена в стоимость ;В работе;Система ТПП ООО;Договор поставки № 736/26;Собиев Олег;ПКНФ-000003;29.01.2026;;29.01.2026;29.01.2026;613800;269400;Автоматическая насосная станция пожаротушения КСС-П-2 CDM15-7-АВР-2ЭЗ ;1
8163У - ВНС 1шт, 3-5 недель , Самовывоз;к отгрузке;ЧИСТАЯ ЭНЕРГИЯ ООО;Договор №315/23;Марухленко Давид Сергеевич;ПКНФ-000009;19.01.2026;;19.01.2026;19.01.2026;376000;176000;Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM5-9-СХ-ГА8 ;1
8150 - ВНС 2 шт, 3-5 недель, Доставка товара включена в стоимость ;к отгрузке;ПРОМЖИЛСТРОЙ РСО-АЛАНИЯ ООО;Договор поставки № 737/26;Собиев Олег;ПКНФ-000010;20.01.2026;;20.01.2026;20.01.2026;741000;741000;Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM5-5-СХ-ГА8 ;1
8150 - ВНС 2 шт, 3-5 недель, Доставка товара включена в стоимость ;к отгрузке;ПРОМЖИЛСТРОЙ РСО-АЛАНИЯ ООО;Договор поставки № 737/26;Собиев Олег;ПКНФ-000010;20.01.2026;;20.01.2026;20.01.2026;741000;741000;Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM10-6-СХ-ГА8 ;1
8144 - насосные станциии в корпусе - 2шт, срок 6 недель, клиент Трансстройинвест, в стоимость уже включены услуги ШМ и ПНР (1,5 проц от счета КСС);к отгрузке;КСС ООО;Договор поставки №740/26 с ИСД 2327202903572000000000000;Сидоренко Александр;ПКНФ-000014;26.01.2026;26.01.2026;26.01.2026;26.01.2026;16256400;3000000;Насосная станция в корпусе КСС-НС-3000-9600;1
8144 - насосные станциии в корпусе - 2шт, срок 6 недель, клиент Трансстройинвест, в стоимость уже включены услуги ШМ и ПНР (1,5 проц от счета КСС);к отгрузке;КСС ООО;Договор поставки №740/26 с ИСД 2327202903572000000000000;Сидоренко Александр;ПКНФ-000014;26.01.2026;26.01.2026;26.01.2026;26.01.2026;16256400;3000000;Насосная станция в корпусе КСС-НС-3200-14000;1
3928 - доплата КНС, 9-11 нед., доставка, ст. Динская «Белые росы» ;Оформление;АС ИНЖИНИРИНГ ООО;Договор №296/23;Салогуб Денис;ПКНФ-000030;14.02.2024;;14.02.2024;14.02.2024;1000000;1000000;Доплата за канализационную насосную станцию в корпусе, произведенном из армированного стеклопластика;1
поплавки;Оформление;ИНЖМОНТАЖСЕРВИС ООО;Договор поставки №356/24;Сидоренко Александр;ПКНФ-000034;19.02.2024;;19.02.2024;19.02.2024;38000;38000;Поплавковый выключатель RL-1 10м;10
3379 - аванс за емкость ;Оформление;ПМК ООО (ПРОММОНТАЖКОМПЛЕКТ);№ 13H/ПМК-П от 21.02.2024 (руб.);Салогуб Денис;ПКНФ-000040;21.02.2024;;21.02.2024;21.02.2024;777000;777000;Аванс в размере 70% за оборудование по договору поставки № 013Н/ПМК-П от 21.02.2024;1
4368 - КНС, 4-6 недель, доставка;Оформление;ВИОЯР ООО;Договор поставки 361/24;Сидоренко Александр;ПКНФ-000046;04.03.2024;;11.03.2024;04.03.2024;989000;692300;Канализационная насосная станция в корпусе из стеклопластика КСС-КНС-1600-3000, на базе насосов KQ 5;1
