Product order name;product_order_date;comment;factory;status;create_date;order_number;order_date;product_name;qty
ПКНФ-000001;12.01.2026;7726.1 - ВНС в корпусе (Основное);Васюринская;В работе;12.01.2026;ПКНФ-00933 ;15.12.2025;Насосная станция повышения давления в корпусе КСС-МЧ-3 CDM15-6-СХ-ГА8-УХЛ1;1
ПКНФ-000002;12.01.2026;7726.1У - Установка повышения давления;Новороссийская ( внс и пнс);В работе;12.01.2026;ПКНФ-00933 ;15.12.2025;7726.1У - Установка повышения давления ;1
ПКНФ-000003;12.01.2026;7726.2 - ПНС в корпусе (основное);Васюринская;В работе;12.01.2026;ПКНФ-00933 ;15.12.2025;Насосная станция пожаротушения в корпусе КСС-П-2 NIS125-100-200-37-АВР-2ЭЗ-РК-УХЛ;1
ПКНФ-000004;12.01.2026;7726.2У - Установка пожаротушения;Новороссийская ( внс и пнс);В работе;12.01.2026;ПКНФ-00933 ;15.12.2025;7726.2У - Установка пожаротушения;1
ПКНФ-000007;22.01.2026;7614.1 - Трубопровод ;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00956 ;10.12.2025;7614.1 - Трубопровод;1
ПКНФ-000008;23.01.2026;7614.1 - Рама под УПМ Балка под крышку;Васюринская;В резерв после прихода;23.01.2026;ПКНФ-00956 ;10.12.2025;7614.1 - Рама под УПМ Балка под крышку;1
ПКНФ-000009;22.01.2026;7614.1 - Направляющие под корзину  Площадка Лестница Балка   транспортировочная Корзина  (резерв лист пвл);Новороссийская ( внс и пнс);В резерв после прихода;22.01.2026;ПКНФ-00956 ;10.12.2025;7614.1 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина;1
ПКНФ-000010;15.01.2025;5415.3 - ВНС корпус - Изделие (списан бак з0227, подводка из 5963);Васюринская;В работе;15.01.2025;ПКНФ-00389;13.12.2024;Насосная станция повышения давления в корпусе базе установки повышения давления КСС-МЧ-2 CDM5-4+СХ+Г;1
ПКНФ-000010;22.01.2026;6176.3ШУ ПНС+ кабель для отправки со станцией + материал для раксключения бочки на Васюринской;Тихорецкая ( только для шу с 0;В резерв после прихода;22.01.2026;ПКНФ-00980 ;26.12.2025;6176.3 КСС-ШУПФС-Д-3-3- 18.5К+2ЭЗ+АВР;1
ПКНФ-000011;22.01.2026;5882.2ШУ ПНС + расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;22.01.2026;ПКНФ-00970 ;22.12.2025;5882.2ШУ КСС-ШУПФС-С-2-3- 30К+АВР;1
ПКНФ-000013;22.01.2026;7726.1ШУ ВНС + расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;22.01.2026;ПКНФ-00933 ;15.12.2025;7726.1 КСС-ШУПЧ2  3-3 -5.5кВт+СХ;1
ПКНФ-000014;22.01.2026;7726.2ШУ ПНС + расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;22.01.2026;ПКНФ-00933 ;15.12.2025;7726.2ШУ КСС-ШУПФС-С-2-3- 37К+АВР+2ЭЗ;1
ПКНФ-000022;12.01.2026;7719.5У - ПНС установка;Новороссийская ( внс и пнс);В работе;12.01.2026;ПКНФ-00960 ;12.12.2025;Установка подачи воды для пожаротушения КСС-П-3 CDM20-5+АВР+2ЭЗ+РК;1
ПКНФ-000025;22.01.2025;5415.4 - в корпусе - Изделие;Васюринская;В работе;22.01.2025;ПКНФ-00389;13.12.2024;Насосная станция пожаротушения в корпусе установки пожаротушения КСС-П-2 CDM20-2+АВР+2ЭЗ;1
ПКНФ-000025;22.01.2026;7634.2У - ВНС установка;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00931 ;15.12.2025;7634.2У - Автоматическая насосная станция повышения давления КСС-МЧ-3 CDM15-6-СХ-ГА8;1
ПКНФ-000028;22.01.2026;7634.2У - Трубопровод;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00931 ;15.12.2025;7634.2У - Трубопровод;1
ПКНФ-000029;14.01.2026;7719.5 корпус - Лестница;Новороссийская ( внс и пнс);В работе;14.01.2026;ПКНФ-00960 ;12.12.2025;7719.5 корпус - Лестница;1
ПКНФ-000030;14.01.2026;7719.5 корпус - Трубопровод, патрубки;Новороссийская ( внс и пнс);В работе;14.01.2026;ПКНФ-00960 ;12.12.2025;7719.5 корпус - Трубопровод, патрубки;1
ПКНФ-000031;23.01.2026;7719.5 корпус - Рама под установку Балка под крышку Транспортировочные петли Подставки под трубопровод Рамка под ШУ;Васюринская;В резерв после прихода;23.01.2026;ПКНФ-00960 ;12.12.2025;7719.5 корпус - Рама под установку Балка под крышку Транспортировочные петли Подставки под трубоп;1
ПКНФ-000048;19.01.2026;7614.2 - Трубопровод;Новороссийская ( внс и пнс);В работе;19.01.2026;ПКНФ-00956 ;10.12.2025;7614.2 - Трубопровод;1
ПКНФ-000049;22.01.2026;7614.2 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина ( лист в резерв);Новороссийская ( внс и пнс);В резерв после прихода;22.01.2026;ПКНФ-00956 ;10.12.2025;7614.2 - Направляющие под корзину  Площадка Лестница Балка транспортировочная Корзина;1
ПКНФ-000050;19.01.2026;7614.2 - Рама под УПМ, Балка под крышку, Направляющие насосов;Васюринская;В работе;19.01.2026;ПКНФ-00956 ;10.12.2025;7614.2 - Рама под УПМ, Балка под крышку;1
ПКНФ-000051;19.01.2026;7634 - Рама, стойка (обвязка);Васюринская;В резерв после прихода;19.01.2026;ПКНФ-00931 ;15.12.2025;7634 Рама, стойка (обвязка);1
ПКНФ-000052;22.01.2026;7634 - Трубопровод (обвязка);Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00931 ;15.12.2025;7634 Трубопровод (обвязка);1
ПКНФ-000069;20.01.2026;7835.1 - ЕНП 2шт.;Васюринская;В работе;20.01.2026;ПКНФ-00942 ;04.12.2025;Емкость накопительная питьевая, произведенная из стеклопластика КСС-ЕНП-5, D=1200 мм, L=4500 мм;2
ПКНФ-000070;23.01.2026;6228.1 - КНС (Основное)+ склад резерв 240тыс;Васюринская;В резерв после прихода;23.01.2026;ПКНФ-00940 ;03.12.2025;Корпус из армированного стеклопластика для КСС-КНС-1600 -6370;1
ПКНФ-000071;20.01.2026;6228.2 - КНС (Основное);Васюринская;В работе;20.01.2026;ПКНФ-00940 ;03.12.2025;Корпус из армированного стеклопластика для КСС-КНС-3800-6340;1
ПКНФ-000072;21.01.2026;6176.4 - ЛОС (Основное);Васюринская;В работе;21.01.2026;ПКНФ-00980 ;26.12.2025;Модульная установка локальных очистных сооруженийКСС-ЛОС-2 камер 3 (ПО+МБО+СФ)  D=1200 мм, L=4000 мм;1
ПКНФ-000073;22.01.2026;6228.1 - Рама под УПМ Балка под крышку Стойки для взмучивателя, Конусное дно;Васюринская;В работе;22.01.2026;ПКНФ-00940 ;03.12.2025;6228.1 - Рама под УПМ Балка под крышку Стойки для взмучивателя, Конусное дно;1
ПКНФ-000074;23.01.2026;6228.1 - Трубопровод;Новороссийская ( внс и пнс);В резерв после прихода;23.01.2026;ПКНФ-00940 ;03.12.2025;6228.1 - Трубопровод;1
ПКНФ-000075;22.01.2026;6228.1 - Направляющие под корзину  Площадка Лестница Балка трансп. Корзина, Упор под шибер, Крыш;Новороссийская ( внс и пнс);В работе;22.01.2026;ПКНФ-00940 ;03.12.2025;6228.1 - Направляющие под корзину  Площадка Лестница Балка трансп. Корзина, Упор под шибер, Крыш;1
ПКНФ-000076;22.01.2026;8150.2ШУ ВНС+ расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;22.01.2026;ПКНФ-000010;20.01.2026;8150.2 КСС-ШУПЧ2  3-3 -2.2кВт+СХ;1
ПКНФ-000077;22.01.2026;8150.1ШУ + расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;22.01.2026;ПКНФ-000010;20.01.2026;8150.1 КСС-ШУПЧ2  3-3 -0,75кВт+СХ;1
ПКНФ-000082;23.01.2026;7024.1 - КНС (Основное)+ склад резерв(180тыс);Васюринская;В резерв после прихода;23.01.2026;ПКНФ-00841 ;14.10.2025;Канализационная насосная станция в корпусе КСС-КНС-1-3200-5400;1
